node,profile,nid,spot.channel,Min time/rank,Max time/rank,Avg time/rank,Total time,Calls/rank (min),Calls/rank (avg),Calls/rank (max),Calls (total),Min time/rank (exc),Max time/rank (exc),Avg time/rank (exc),Total time (exc),name
"{'name': 'Kokkos::Cuda: backend fence after async malloc', 'type': 'function'}",1024118826,1.0,regionprofile,3.1501e-05,3.1501e-05,3.1501e-05,3.1501e-05,1.0,1.0,1.0,1.0,3.1501e-05,3.1501e-05,3.1501e-05,3.1501e-05,Kokkos::Cuda: backend fence after async malloc
"{'name': 'SharedAllocationRecord<Kokkos::CudaSpace, void>::SharedAllocationRecord(): fence after copying header from HostSpace', 'type': 'function'}",1024118826,3.0,regionprofile,0.000192668,0.000192668,0.000192668,0.000192668,12.0,12.0,12.0,12.0,0.000192668,0.000192668,0.000192668,0.000192668,"SharedAllocationRecord<Kokkos::CudaSpace, void>::SharedAllocationRecord(): fence after copying header from HostSpace"
"{'name': 'Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence', 'type': 'function'}",1024118826,5.0,regionprofile,0.0008978,0.0008978,0.0008978,0.0008978,81.0,81.0,81.0,81.0,0.0008978,0.0008978,0.0008978,0.0008978,Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence
"{'name': 'Kokkos::View::initialization [Reference View] via memset', 'type': 'function'}",1024118826,7.0,regionprofile,0.00123903,0.00123903,0.00123903,0.00123903,1.0,1.0,1.0,1.0,4.9509e-05,4.9509e-05,4.9509e-05,4.9509e-05,Kokkos::View::initialization [Reference View] via memset
"{'name': 'Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence', 'type': 'function'}",1024118826,8.0,regionprofile,0.00118952,0.00118952,0.00118952,0.00118952,3.0,3.0,3.0,3.0,0.00118952,0.00118952,0.00118952,0.00118952,Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence
"{'name': 'Kokkos::Impl::ViewValueFunctor: View init/destroy fence', 'type': 'function'}",1024118826,10.0,regionprofile,0.000242224,0.000242224,0.000242224,0.000242224,23.0,23.0,23.0,23.0,0.000242224,0.000242224,0.000242224,0.000242224,Kokkos::Impl::ViewValueFunctor: View init/destroy fence
"{'name': 'Kokkos::deep_copy: scalar copy, pre copy fence', 'type': 'function'}",1024118826,12.0,regionprofile,0.000247,0.000247,0.000247,0.000247,27.0,27.0,27.0,27.0,0.000247,0.000247,0.000247,0.000247,"Kokkos::deep_copy: scalar copy, pre copy fence"
"{'name': 'Kokkos::deep_copy: scalar copy, post copy fence', 'type': 'function'}",1024118826,14.0,regionprofile,0.00155598,0.00155598,0.00155598,0.00155598,27.0,27.0,27.0,27.0,0.00155598,0.00155598,0.00155598,0.00155598,"Kokkos::deep_copy: scalar copy, post copy fence"
"{'name': 'Kokkos::View::initialization [Reference View_mirror] via memset', 'type': 'function'}",1024118826,16.0,regionprofile,0.0827304,0.0827304,0.0827304,0.0827304,1.0,1.0,1.0,1.0,0.0826478,0.0826478,0.0826478,0.0826478,Kokkos::View::initialization [Reference View_mirror] via memset
"{'name': 'HostSpace fence', 'type': 'function'}",1024118826,17.0,regionprofile,9.216e-06,9.216e-06,9.216e-06,9.216e-06,1.0,1.0,1.0,1.0,9.216e-06,9.216e-06,9.216e-06,9.216e-06,HostSpace fence
"{'name': 'Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence', 'type': 'function'}",1024118826,18.0,regionprofile,7.3387e-05,7.3387e-05,7.3387e-05,7.3387e-05,3.0,3.0,3.0,3.0,7.3387e-05,7.3387e-05,7.3387e-05,7.3387e-05,Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence
"{'name': 'Kokkos::View::initialization [Chkpt] via memset', 'type': 'function'}",1024118826,20.0,regionprofile,0.143687,0.143687,0.143687,0.143687,4.0,4.0,4.0,4.0,0.14338,0.14338,0.14338,0.14338,Kokkos::View::initialization [Chkpt] via memset
"{'name': 'HostSpace fence', 'type': 'function'}",1024118826,21.0,regionprofile,3.0343e-05,3.0343e-05,3.0343e-05,3.0343e-05,4.0,4.0,4.0,4.0,3.0343e-05,3.0343e-05,3.0343e-05,3.0343e-05,HostSpace fence
"{'name': 'Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence', 'type': 'function'}",1024118826,22.0,regionprofile,0.000276715,0.000276715,0.000276715,0.000276715,12.0,12.0,12.0,12.0,0.000276715,0.000276715,0.000276715,0.000276715,Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence
"{'name': 'HostSpace fence', 'type': 'function'}",1024118826,24.0,regionprofile,2.8834e-05,2.8834e-05,2.8834e-05,2.8834e-05,4.0,4.0,4.0,4.0,2.8834e-05,2.8834e-05,2.8834e-05,2.8834e-05,HostSpace fence
"{'name': 'Kokkos::View::initialization [UnorderedMap - size] via memset', 'type': 'function'}",1024118826,26.0,regionprofile,8.9207e-05,8.9207e-05,8.9207e-05,8.9207e-05,1.0,1.0,1.0,1.0,4.7041e-05,4.7041e-05,4.7041e-05,4.7041e-05,Kokkos::View::initialization [UnorderedMap - size] via memset
"{'name': 'HostSpace fence', 'type': 'function'}",1024118826,27.0,regionprofile,1.3398e-05,1.3398e-05,1.3398e-05,1.3398e-05,1.0,1.0,1.0,1.0,1.3398e-05,1.3398e-05,1.3398e-05,1.3398e-05,HostSpace fence
"{'name': 'Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence', 'type': 'function'}",1024118826,28.0,regionprofile,2.8768e-05,2.8768e-05,2.8768e-05,2.8768e-05,3.0,3.0,3.0,3.0,2.8768e-05,2.8768e-05,2.8768e-05,2.8768e-05,Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence
"{'name': 'Kokkos::View::initialization [UnorderedMap - bitset] via memset', 'type': 'function'}",1024118826,30.0,regionprofile,7.1579e-05,7.1579e-05,7.1579e-05,7.1579e-05,1.0,1.0,1.0,1.0,4.1252e-05,4.1252e-05,4.1252e-05,4.1252e-05,Kokkos::View::initialization [UnorderedMap - bitset] via memset
"{'name': 'Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence', 'type': 'function'}",1024118826,31.0,regionprofile,3.0327e-05,3.0327e-05,3.0327e-05,3.0327e-05,3.0,3.0,3.0,3.0,3.0327e-05,3.0327e-05,3.0327e-05,3.0327e-05,Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence
"{'name': 'Kokkos::View::initialization [UnorderedMap - keys]', 'type': 'function'}",1024118826,33.0,regionprofile,0.000101804,0.000101804,0.000101804,0.000101804,1.0,1.0,1.0,1.0,7.017e-05,7.017e-05,7.017e-05,7.017e-05,Kokkos::View::initialization [UnorderedMap - keys]
"{'name': 'Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence', 'type': 'function'}",1024118826,34.0,regionprofile,3.1634e-05,3.1634e-05,3.1634e-05,3.1634e-05,3.0,3.0,3.0,3.0,3.1634e-05,3.1634e-05,3.1634e-05,3.1634e-05,Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence
"{'name': 'Kokkos::View::initialization [UnorderedMap - values]', 'type': 'function'}",1024118826,36.0,regionprofile,7.7561e-05,7.7561e-05,7.7561e-05,7.7561e-05,1.0,1.0,1.0,1.0,4.6859e-05,4.6859e-05,4.6859e-05,4.6859e-05,Kokkos::View::initialization [UnorderedMap - values]
"{'name': 'Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence', 'type': 'function'}",1024118826,37.0,regionprofile,3.0702e-05,3.0702e-05,3.0702e-05,3.0702e-05,3.0,3.0,3.0,3.0,3.0702e-05,3.0702e-05,3.0702e-05,3.0702e-05,Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence
"{'name': 'Kokkos::View::initialization [UnorderedMap - scalars] via memset', 'type': 'function'}",1024118826,39.0,regionprofile,6.8095e-05,6.8095e-05,6.8095e-05,6.8095e-05,1.0,1.0,1.0,1.0,3.8439e-05,3.8439e-05,3.8439e-05,3.8439e-05,Kokkos::View::initialization [UnorderedMap - scalars] via memset
"{'name': 'Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence', 'type': 'function'}",1024118826,40.0,regionprofile,2.9656e-05,2.9656e-05,2.9656e-05,2.9656e-05,3.0,3.0,3.0,3.0,2.9656e-05,2.9656e-05,2.9656e-05,2.9656e-05,Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence
"{'name': 'Kokkos::ViewFill-1D', 'type': 'function'}",1024118826,42.0,regionprofile,0.000139564,0.000139564,0.000139564,0.000139564,2.0,2.0,2.0,2.0,8.1811e-05,8.1811e-05,8.1811e-05,8.1811e-05,Kokkos::ViewFill-1D
"{'name': 'Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence', 'type': 'function'}",1024118826,43.0,regionprofile,5.7753e-05,5.7753e-05,5.7753e-05,5.7753e-05,6.0,6.0,6.0,6.0,5.7753e-05,5.7753e-05,5.7753e-05,5.7753e-05,Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence
"{'name': 'Kokkos::View::initialization [Vector] via memset', 'type': 'function'}",1024118826,45.0,regionprofile,0.000129856,0.000129856,0.000129856,0.000129856,2.0,2.0,2.0,2.0,7.3239e-05,7.3239e-05,7.3239e-05,7.3239e-05,Kokkos::View::initialization [Vector] via memset
"{'name': 'Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence', 'type': 'function'}",1024118826,46.0,regionprofile,5.6617e-05,5.6617e-05,5.6617e-05,5.6617e-05,6.0,6.0,6.0,6.0,5.6617e-05,5.6617e-05,5.6617e-05,5.6617e-05,Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence
"{'name': 'Kokkos::View::initialization [Vector length] via memset', 'type': 'function'}",1024118826,48.0,regionprofile,0.000128999,0.000128999,0.000128999,0.000128999,2.0,2.0,2.0,2.0,7.2411e-05,7.2411e-05,7.2411e-05,7.2411e-05,Kokkos::View::initialization [Vector length] via memset
